Nama,Harga
CORSAIR DDR4 VENGEANCE LPX PC25600 8GB,Rp463.000
CORSAIR DDR4 VENGEANCE LPX PC28800 64GB,Rp2.718.000
CORSAIR DDR4 VENGEANCE RGB PRO SL PC28800 16GB,Rp1.168.000
CORSAIR DDR4 VENGEANCE LPX PC25600 16GB,Rp871.000
VENOMRX DDR4 PC21000 4GB,Rp154.000
TRANSCEND JETRAM DDR4 PC25600 3200MHZ 16GB,Rp641.000
VGEN RESCUE SODIMM DDR4 16GB,Rp493.000
VGEN PLATINUM DDR4 32GB,Rp1.176.000
AVEXIR DDR4 CORE WHITE 2400MHZ 4GB,Rp236.000
AVEXIR DDR4 CORE RED 2400MHZ 4GB,Rp236.000
TEAM ELITE PLUS BLACK DDR4 PC25600 3200MHZ 8GB,Rp375.000
CORSAIR DDR4 VENGEANCE LPX PC25600 32GB,Rp1.481.000
CORSAIR DDR4 VENGEANCE RGB PRO SL PC28800 32GB,Rp1.747.000
CORSAIR DDR4 VENGEANCE RGB PRO SL PC28800 32GB,Rp1.747.000
CORSAIR DDR4 VENGEANCE RGB PRO SL PC28800 32GB,Rp1.747.000
CORSAIR DDR4 VENGEANCE RGB PRO SL PC28800 16GB,Rp1.168.000
CORSAIR DDR4 VENGEANCE RGB PRO SL PC25600 32GB,Rp1.690.000
CORSAIR DDR4 VENGEANCE RGB PRO SL PC25600 16GB,Rp1.079.000
CORSAIR DDR4 VENGEANCE RGB PRO SL PC25600 32GB,Rp1.690.000
CORSAIR DDR4 VENGEANCE RGB PRO SL PC25600 32GB,Rp1.690.000
CORSAIR DDR4 VENGEANCE RGB PRO SL PC25600 16GB,Rp1.079.000
CORSAIR DDR4 VENGEANCE RGB PRO SL PC25600 16GB,Rp1.079.000
PATRIOT DDR4 VIPER STEEL RGB PC25600 8GB,Rp417.000
KINGSTON KVR DDR4 3200 MHZ 8GB,Rp379.000
TEAM TCREATE CLASSIC 10L DDR4 PC25600 DUAL CHANNEL 32GB,Rp1.204.000
TEAM TCREATE CLASSIC 10L DDR4 PC25600 DUAL CHANNEL 16GB,Rp640.000
KLEVV DDR4 CRAS XR RGB PC28800 3600MHZ 32GB,Rp1.418.000
