Nama,Harga
MSI MPG A750GF 750W 80 PLUS GOLD FULL MODULAR,Rp1.772.000
EVGA SUPERNOVA 850W G PLUS,Rp2.265.000
ASUS ROG THOR 850W FULLY MODULAR,Rp4.276.000
ASUS ROG STRIX 850W WHITE EDITION FULLY MODULAR,Rp2.715.000
ASUS ROG STRIX 550W FULLY MODULAR,Rp1.949.000
ASUS ROG STRIX 850W FULLY MODULAR,Rp2.789.000
EVGA SUPERNOVA 650W G PLUS,Rp1.793.000
EVGA SUPERNOVA 750W G PLUS,Rp2.055.000
SIMBADDA 500W,Rp581.000
BE QUIET DARK POWER PRO 12 1200W,Rp5.945.000
COOLER MASTER V650 SFX GOLD,Rp1.358.000
CORSAIR CXF RGB SERIES 550W FULL MODULAR,Rp1.399.000
CORSAIR CXF RGB SERIES 650W FULL MODULAR,Rp1.284.000
CORSAIR CXF RGB SERIES 750W FULL MODULAR,Rp1.546.000
CORSAIR CXF RGB WHITE SERIES 650W FULL MODULAR,Rp1.284.000
CORSAIR CXF RGB WHITE SERIES 750W FULL MODULAR,Rp1.546.000
INFINITY 500W,Rp523.000
AIGO PSU 450W GP 450,Rp502.000
AIGO PSU 650W GP 650,Rp644.000
COOLER MASTER V850 GOLD V2 WHITE EDITION,Rp2.181.000
COOLER MASTER ELITE P500 V3,Rp555.000
FSP SFX PRO 450W 80 PLUS BRONZE,Rp975.000
BITFENIX WHISPER 750W,Rp1.662.000
XIGMATEK MINOTAUR 650W 80 PLUS GOLD FULL MODULAR,Rp1.326.000
EVGA 450W,Rp655.000
EVGA SUPERNOVA 1000W G PLUS,Rp2.894.000
EVGA SUPERNOVA 750W G3,Rp2.160.000
EVGA 600W,Rp933.000
ADATA XPG CORE REACTOR 650G,Rp1.696.000
ADATA XPG CORE REACTOR 750G,Rp1.797.000
ADATA XPG CORE REACTOR 850G,Rp1.898.000
GIGABYTE AORUS GP AP850GM 850W 80 PLUS GOLD,Rp2.099.000
ENLIGHT BLACK SILVER 600W,Rp880.000
SILVERSTONE 650W,Rp1.562.000
GIGABYTE GP P750GM 750W 80 PLUS GOLD,Rp1.457.000
EVGA 450W,Rp607.000
ENLIGHT BLACK SILVER 700W,Rp1.032.000
DEEPCOOL 850W,Rp1.682.000
COOLER MASTER V750 GOLD V2 WHITE EDITION,Rp2.020.000
COOLER MASTER V650 GOLD V2 WHITE EDITION,Rp1.814.000
COOLER MASTER V850 GOLD V2,Rp2.181.000
COOLER MASTER V650 GOLD V2,Rp1.819.000
COOLER MASTER MWE GOLD 850 V2,Rp1.958.000
THERMALTAKE SMART BX1 RGB 750W 80 PLUS BRONZE,Rp1.221.000
THERMALTAKE SMART BX1 RGB 650W 80 PLUS BRONZE,Rp1.067.000
THERMALTAKE SMART BX1 RGB 550W 80 PLUS BRONZE,Rp961.000
SEASONIC PRIME GOLD 650GD [BROWN BOX],Rp1.644.000
